Date,Views
2021-11-30,0
2021-12-01,0
2021-12-02,0
2021-12-03,12
2021-12-04,3
2021-12-05,3
2021-12-06,28
2021-12-07,2
2021-12-08,1
2021-12-09,0
2021-12-10,0
2021-12-11,0
2021-12-12,0
2021-12-13,0
2021-12-14,2
2021-12-15,0
2021-12-16,0
2021-12-17,0
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,1
2021-12-23,10
2021-12-24,13
2021-12-25,6
2021-12-26,4
2021-12-27,1
2021-12-28,3
2021-12-29,4
2021-12-30,1
2021-12-31,14
2022-01-01,9
2022-01-02,20
2022-01-03,12
2022-01-04,16
2022-01-05,11
2022-01-06,5
2022-01-07,20
2022-01-08,9
2022-01-09,5
2022-01-10,34
2022-01-11,12
2022-01-12,31
2022-01-13,10
2022-01-14,10
2022-01-15,19
2022-01-16,17
2022-01-17,37
2022-01-18,47
2022-01-19,24
2022-01-20,10
2022-01-21,26
2022-01-22,30
2022-01-23,33
2022-01-24,31
2022-01-25,10
2022-01-26,21
2022-01-27,21
2022-01-28,23
2022-01-29,10
2022-01-30,23
2022-01-31,15
2022-02-01,30
2022-02-02,31
2022-02-03,25
2022-02-04,21
2022-02-05,11
2022-02-06,16
2022-02-07,15
2022-02-08,25
2022-02-09,24
2022-02-10,18
2022-02-11,19
2022-02-12,6
2022-02-13,6
2022-02-14,14
2022-02-15,8
2022-02-16,22
2022-02-17,16
2022-02-18,16
2022-02-19,4
2022-02-20,16
2022-02-21,18
2022-02-22,14
2022-02-23,9
2022-02-24,13
2022-02-25,19
2022-02-26,6
2022-02-27,20
2022-02-28,14
2022-03-01,12
2022-03-02,17
2022-03-03,11
2022-03-04,10
2022-03-05,10
2022-03-06,8
2022-03-07,15
2022-03-08,12
2022-03-09,17
2022-03-10,9
2022-03-11,32
2022-03-12,6
2022-03-13,12
2022-03-14,15
2022-03-15,20
2022-03-16,10
2022-03-17,9
2022-03-18,16
2022-03-19,31
2022-03-20,10
2022-03-21,14
2022-03-22,9
2022-03-23,11
2022-03-24,2
2022-03-25,19
2022-03-26,27
2022-03-27,118
2022-03-28,287
2022-03-29,134
2022-03-30,96
2022-03-31,139
2022-04-01,112
2022-04-02,68
2022-04-03,99
2022-04-04,93
2022-04-05,67
2022-04-06,83
2022-04-07,62
2022-04-08,63
2022-04-09,67
2022-04-10,115
2022-04-11,80
2022-04-12,68
2022-04-13,77
2022-04-14,148
2022-04-15,55
2022-04-16,37
2022-04-17,39
2022-04-18,54
2022-04-19,84
2022-04-20,82
2022-04-21,40
2022-04-22,49
2022-04-23,73
2022-04-24,112
2022-04-25,126
2022-04-26,79
2022-04-27,38
2022-04-28,57
2022-04-29,69
2022-04-30,130
2022-05-01,77
2022-05-02,77
2022-05-03,77
2022-05-04,252
2022-05-05,124
2022-05-06,87
2022-05-07,83
2022-05-08,101
2022-05-09,70
2022-05-10,46
2022-05-11,55
2022-05-12,87
2022-05-13,146
2022-05-14,146
2022-05-15,209
2022-05-16,1063
2022-05-17,718
2022-05-18,680
2022-05-19,217
2022-05-20,223
2022-05-21,301
2022-05-22,343
2022-05-23,171
2022-05-24,133
2022-05-25,112
2022-05-26,72
2022-05-27,131
2022-05-28,112
2022-05-29,128
2022-05-30,137
2022-05-31,105
2022-06-01,59
2022-06-02,74
2022-06-03,50
2022-06-04,35
2022-06-05,98
2022-06-06,111
2022-06-07,82
2022-06-08,63
2022-06-09,100
2022-06-10,58
2022-06-11,62
2022-06-12,58
2022-06-13,40
2022-06-14,50
2022-06-15,43
2022-06-16,30
2022-06-17,45
2022-06-18,34
2022-06-19,33
2022-06-20,42
2022-06-21,89
2022-06-22,68
2022-06-23,56
2022-06-24,87
2022-06-25,69
2022-06-26,76
2022-06-27,46
2022-06-28,46
2022-06-29,52
2022-06-30,50
2022-07-01,35
2022-07-02,27
2022-07-03,28
2022-07-04,40
2022-07-05,31
2022-07-06,47
2022-07-07,36
2022-07-08,26
2022-07-09,24
2022-07-10,25
2022-07-11,30
2022-07-12,32
2022-07-13,31
2022-07-14,43
2022-07-15,29
2022-07-16,19
2022-07-17,20
2022-07-18,39
2022-07-19,40
2022-07-20,41
2022-07-21,58
2022-07-22,62
2022-07-23,36
2022-07-24,56
2022-07-25,61
2022-07-26,36
2022-07-27,47
2022-07-28,42
2022-07-29,75
2022-07-30,54
2022-07-31,35
2022-08-01,55
2022-08-02,41
2022-08-03,54
2022-08-04,58
2022-08-05,108
2022-08-06,73
2022-08-07,98
2022-08-08,155
2022-08-09,189
2022-08-10,152
2022-08-11,159
2022-08-12,124
2022-08-13,99
2022-08-14,67
2022-08-15,89
2022-08-16,128
2022-08-17,130
2022-08-18,81
2022-08-19,59
2022-08-20,64
2022-08-21,74
2022-08-22,93
2022-08-23,77
2022-08-24,64
2022-08-25,63
2022-08-26,61
2022-08-27,100
2022-08-28,90
2022-08-29,92
2022-08-30,133
2022-08-31,73
2022-09-01,84
2022-09-02,80
2022-09-03,112
2022-09-04,81
2022-09-05,106
2022-09-06,75
2022-09-07,88
2022-09-08,86
2022-09-09,73
2022-09-10,99
2022-09-11,79
2022-09-12,108
2022-09-13,132
2022-09-14,164
2022-09-15,139
2022-09-16,77
2022-09-17,60
2022-09-18,84
2022-09-19,101
2022-09-20,137
2022-09-21,113
2022-09-22,112
2022-09-23,128
2022-09-24,92
2022-09-25,95
2022-09-26,110
2022-09-27,112
2022-09-28,114
2022-09-29,98
2022-09-30,89
2022-10-01,76
2022-10-02,97
2022-10-03,107
2022-10-04,109
2022-10-05,102
2022-10-06,106
2022-10-07,101
2022-10-08,98
2022-10-09,92
2022-10-10,126
2022-10-11,116
2022-10-12,97
2022-10-13,81
2022-10-14,121
2022-10-15,125
2022-10-16,127
2022-10-17,168
2022-10-18,167
2022-10-19,192
2022-10-20,129
2022-10-21,101
2022-10-22,125
2022-10-23,129
2022-10-24,160
2022-10-25,148
2022-10-26,151
2022-10-27,116
2022-10-28,93
2022-10-29,143
2022-10-30,98
2022-10-31,139
2022-11-01,105
2022-11-02,137
2022-11-03,118
2022-11-04,123
2022-11-05,86
2022-11-06,98
2022-11-07,173
2022-11-08,143
2022-11-09,119
2022-11-10,134
2022-11-11,116
2022-11-12,207
2022-11-13,186
2022-11-14,191
2022-11-15,167
2022-11-16,175
2022-11-17,220
2022-11-18,251
2022-11-19,274
2022-11-20,328
2022-11-21,309
2022-11-22,253
2022-11-23,297
2022-11-24,267
2022-11-25,202
2022-11-26,184
2022-11-27,266
2022-11-28,257
2022-11-29,285
2022-11-30,254
2022-12-01,232
2022-12-02,201
2022-12-03,240
2022-12-04,228
2022-12-05,236
2022-12-06,205
2022-12-07,232
2022-12-08,250
2022-12-09,208
2022-12-10,179
2022-12-11,224
2022-12-12,228
2022-12-13,252
2022-12-14,161
2022-12-15,176
2022-12-16,176
2022-12-17,172
2022-12-18,158
2022-12-19,184
2022-12-20,204
2022-12-21,216
2022-12-22,140
2022-12-23,179
2022-12-24,123
2022-12-25,149
2022-12-26,190
2022-12-27,206
2022-12-28,198
2022-12-29,161
2022-12-30,146
2022-12-31,123
2023-01-01,115
2023-01-02,196
2023-01-03,218
2023-01-04,235
2023-01-05,201
2023-01-06,181
2023-01-07,176
2023-01-08,186
2023-01-09,224
2023-01-10,189
2023-01-11,251
2023-01-12,254
2023-01-13,190
2023-01-14,172
2023-01-15,176
2023-01-16,199
2023-01-17,256
2023-01-18,261
2023-01-19,307
2023-01-20,268
2023-01-21,192
2023-01-22,206
2023-01-23,276
2023-01-24,257
2023-01-25,309
2023-01-26,255
2023-01-27,253
2023-01-28,166
2023-01-29,246
2023-01-30,295
2023-01-31,329
2023-02-01,279
2023-02-02,284
2023-02-03,281
2023-02-04,239
2023-02-05,317
